"DesignName","Gates","Edges","DesignPath","CellLib","FileType","Category","Time","Inputs","Outputs","NrDffs"
"automated_osu035_ecg_latest_final_func9",2332,2719,"./automated_osu035/automated_osu035_ecg_latest_final_func9.v","automated_osu035","v",,1536253325.71521,778,389,0
"automated_osu035_ecg_latest_final_point_add",84601,178734,"./automated_osu035/automated_osu035_ecg_latest_final_point_add.v","automated_osu035","v","add, arithmetic",1536253329.30318,780,390,0
"automated_osu035_ecg_latest_final_point_scalar_mult",90307,193675,"./automated_osu035/automated_osu035_ecg_latest_final_point_scalar_mult.v","automated_osu035","v","mult, arithmetic",1536253333.05114,542,390,0
"automated_osu035_ecpu_alu_latest_final_alu_adder",190,249,"./automated_osu035/automated_osu035_ecpu_alu_latest_final_alu_adder.v","automated_osu035","v","add, arithmetic",1528128672.01429,19,41,"{}"
"automated_osu035_edge_latest_final_adder",423,662,"./automated_osu035/automated_osu035_edge_latest_final_adder.v","automated_osu035","v","add, arithmetic",1535715422.80004,65,33,0
"automated_osu035_edge_latest_final_alu",6751,16156,"./automated_osu035/automated_osu035_edge_latest_final_alu.v","automated_osu035","v","alu, arithmetic",1535715423.18404,68,34,0
"automated_osu035_edge_latest_final_alu_decoder",61,96,"./automated_osu035/automated_osu035_edge_latest_final_alu_decoder.v","automated_osu035","v","alu, arithmetic, add, sub",1535715422.84404,10,4,0
"automated_osu035_edge_latest_final_clock_manager",204,399,"./automated_osu035/automated_osu035_edge_latest_final_clock_manager.v","automated_osu035","v",,1535715423.20804,1,1,0
"automated_osu035_edge_latest_final_controller",280,490,"./automated_osu035/automated_osu035_edge_latest_final_controller.v","automated_osu035","v",,1535715423.25604,44,35,0
"automated_osu035_edge_latest_final_Coprocessor0",6634,15362,"./automated_osu035/automated_osu035_edge_latest_final_Coprocessor0.v","automated_osu035","v","cpu, coprocessor",1535715423.58404,110,33,0
"automated_osu035_edge_latest_final_div_unit",10342,24605,"./automated_osu035/automated_osu035_edge_latest_final_div_unit.v","automated_osu035","v","div, arithmetic",1535715424.12403,64,64,0
